"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Women","1718",2001,"SC.Potsdam",1,"Drpa Marta",6,29,12,22,19,NA,6,1,NA,NA,NA,63,2,5,22,35,1
"Women","1718",2001,"SC.Potsdam",3,"Wilczek Natalie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1718",2001,"SC.Potsdam",5,"Svobodnikova Ivona",5,6,1,3,16,3,1,NA,NA,NA,NA,17,NA,NA,5,29,NA
"Women","1718",2001,"SC.Potsdam",6,"Knauf Ann-Marie",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1718",2001,"SC.Potsdam",7,"Weske Emilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1718",2001,"SC.Potsdam",8,"Stautz Antonia",NA,NA,NA,-3,7,1,NA,4,1,25,NA,1,1,NA,NA,NA,NA
"Women","1718",2001,"SC.Potsdam",9,"Gründing Lisa",5,7,4,-1,14,4,2,NA,NA,NA,NA,18,3,1,5,28,NA
"Women","1718",2001,"SC.Potsdam",10,"Hölzig Annegret",6,7,4,2,8,1,1,7,1,43,NA,13,2,1,4,31,2
"Women","1718",2001,"SC.Potsdam",11,"Dreblow Sophie",NA,NA,NA,-8,NA,NA,NA,53,8,38,26,NA,NA,NA,NA,NA,NA
"Women","1718",2001,"SC.Potsdam",14,"Imoudu Denise",5,2,2,-2,22,1,2,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"Women","1718",2001,"SC.Potsdam",15,"Kecman Ljubica",6,10,6,6,6,1,NA,6,NA,67,17,16,NA,3,10,62,NA
"Women","1718",2001,"SC.Potsdam",18,"Cikiriz Natasa",5,20,12,8,12,2,3,28,2,32,21,38,5,3,11,29,6
"Women","1718",2002,"Allianz.MTV.1",2,"StutSttgolaterntborg Femke ",5,3,2,-1,13,2,1,NA,NA,NA,NA,3,2,NA,1,33,1
"Women","1718",2002,"Allianz.MTV.1",3,"Tomazela Pissinato M. ",6,6,4,NA,19,2,1,NA,NA,NA,NA,10,4,NA,2,20,3
"Women","1718",2002,"Allianz.MTV.1",5,"McCage Mallory Grace ",6,11,5,4,4,NA,NA,NA,NA,NA,NA,20,3,4,6,30,5
"Women","1718",2002,"Allianz.MTV.1",6,"Cesar Annie",NA,1,1,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1718",2002,"Allianz.MTV.1",7,"Sandor Renata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1718",2002,"Allianz.MTV.1",8,"Schaefer Julia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1718",2002,"Allianz.MTV.1",9,"Daalderop Nika ",6,24,10,16,17,1,1,34,4,32,12,39,3,NA,22,56,1
"Women","1718",2002,"Allianz.MTV.1",10,"Kästner Pia",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1718",2002,"Allianz.MTV.1",11,"Pusic Teodora",NA,NA,NA,NA,NA,NA,NA,14,NA,57,21,NA,NA,NA,NA,NA,NA
