"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Men","1617",1001,"VfB.Friedrichshafen",3,"Späth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1617",1001,"VfB.Friedrichshafen",4,"Takvam",7,10,4,9,12,NA,NA,NA,NA,NA,NA,10,1,NA,8,80,2
"Men","1617",1001,"VfB.Friedrichshafen",5,"Sossenheimer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1617",1001,"VfB.Friedrichshafen",6,"Finger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1617",1001,"VfB.Friedrichshafen",7,"Protopsaltis",6,14,8,12,12,1,NA,9,1,44,22,17,NA,NA,13,76,1
"Men","1617",1001,"VfB.Friedrichshafen",8,"Klein",6,6,3,3,11,1,NA,1,NA,NA,NA,7,2,NA,4,57,2
"Men","1617",1001,"VfB.Friedrichshafen",10,"Tischer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1617",1001,"VfB.Friedrichshafen",11,"Malescha",6,15,7,9,15,3,4,NA,NA,NA,NA,24,2,1,11,46,NA
"Men","1617",1001,"VfB.Friedrichshafen",12,"Günthör",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1617",1001,"VfB.Friedrichshafen",13,"Steuerwald",NA,NA,NA,-1,NA,NA,NA,18,1,61,22,NA,NA,NA,NA,NA,NA
"Men","1617",1001,"VfB.Friedrichshafen",14,"Rousseaux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1617",1001,"VfB.Friedrichshafen",15,"Mustedanovic",6,12,9,8,11,2,1,7,NA,71,29,15,2,NA,9,60,2
