"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Men","1415",1001,"SWD.powervolleys.1",1,"Bann",NA,NA,NA,-1,NA,NA,NA,15,1,73,33,NA,NA,NA,NA,NA,NA
"Men","1415",1001,"SWD.powervolleys.1",5,"Barthel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1001,"SWD.powervolleys.1",6,"Klein ",6,5,3,1,9,2,NA,1,1,NA,NA,6,NA,1,3,50,2
"Men","1415",1001,"SWD.powervolleys.1",7,"Klingner",NA,3,1,2,6,NA,NA,1,NA,NA,NA,5,NA,1,3,60,NA
"Men","1415",1001,"SWD.powervolleys.1",8,"Hunt ",5,6,1,-2,6,1,NA,19,3,42,11,15,2,2,6,40,NA
"Men","1415",1001,"SWD.powervolleys.1",9,"Prolingheuer",6,17,4,13,8,NA,NA,NA,NA,NA,NA,35,2,2,17,49,NA
"Men","1415",1001,"SWD.powervolleys.1",10,"Pompe ",5,8,3,3,9,1,1,17,1,59,29,17,2,1,7,41,NA
"Men","1415",1001,"SWD.powervolleys.1",13,"Gevert ",NA,1,NA,-4,1,1,NA,NA,NA,NA,NA,8,2,2,1,12,NA
"Men","1415",1001,"SWD.powervolleys.1",14,"Zachrich ",NA,NA,NA,-1,5,NA,NA,1,NA,100,NA,4,1,NA,NA,NA,NA
"Men","1415",1001,"SWD.powervolleys.1",15,"McGovern",6,NA,NA,-1,5,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"Men","1415",1001,"SWD.powervolleys.1",17,"Kocian ",5,NA,NA,-3,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1001,"SWD.powervolleys.1",18,"Marks",5,4,1,NA,6,1,1,14,2,36,21,5,1,NA,3,60,NA
"Men","1415",1002,"VSG.Coburg.Grub",1,"Poluga",6,10,6,7,6,1,NA,NA,NA,NA,NA,7,1,1,4,57,6
"Men","1415",1002,"VSG.Coburg.Grub",2,"Stein",5,9,4,NA,11,2,1,NA,NA,NA,NA,18,2,5,7,39,1
"Men","1415",1002,"VSG.Coburg.Grub",4,"Baxpöhler",NA,3,2,-1,14,3,2,NA,NA,NA,NA,1,NA,1,NA,NA,1
"Men","1415",1002,"VSG.Coburg.Grub",5,"Karanovic",5,9,5,-1,12,2,2,15,4,33,20,22,2,2,6,27,1
"Men","1415",1002,"VSG.Coburg.Grub",6,"Meuter",NA,NA,NA,-2,1,NA,NA,2,1,NA,NA,1,1,NA,NA,NA,NA
"Men","1415",1002,"VSG.Coburg.Grub",7,"Welter",NA,NA,NA,-4,NA,NA,NA,28,4,43,39,NA,NA,NA,NA,NA,NA
"Men","1415",1002,"VSG.Coburg.Grub",8,"Kucera",NA,NA,NA,-1,NA,NA,NA,3,1,33,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1002,"VSG.Coburg.Grub",9,"Nürnberger",NA,NA,NA,-1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"Men","1415",1002,"VSG.Coburg.Grub",10,"Kellermann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1002,"VSG.Coburg.Grub",12,"Speta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1002,"VSG.Coburg.Grub",13,"Karlitzek",5,5,NA,-1,6,2,NA,11,2,36,27,13,1,1,4,31,1
"Men","1415",1002,"VSG.Coburg.Grub",18,"Kocian",6,NA,NA,-1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1003,"SVG.Lüneburg.1",1,"Mattson",NA,NA,NA,-2,NA,NA,NA,17,2,65,41,NA,NA,NA,NA,NA,NA
"Men","1415",1003,"SVG.Lüneburg.1",2,"Brüggemann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1003,"SVG.Lüneburg.1",3,"Kevorken ",6,8,4,5,12,2,NA,NA,NA,NA,NA,14,1,NA,6,43,2
"Men","1415",1003,"SVG.Lüneburg.1",4,"Laane ",6,22,9,6,16,4,3,29,6,41,10,29,5,1,17,59,2
"Men","1415",1003,"SVG.Lüneburg.1",5,"Bahlburg ",6,11,5,3,17,1,3,19,5,11,NA,19,1,1,6,32,2
"Men","1415",1003,"SVG.Lüneburg.1",6,"Dolfo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1003,"SVG.Lüneburg.1",7,"Pörner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1003,"SVG.Lüneburg.1",9,"Steinke ",6,14,9,2,18,8,2,1,1,NA,NA,21,2,1,11,52,1
"Men","1415",1003,"SVG.Lüneburg.1",13,"Köhler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1003,"SVG.Lüneburg.1",14,"Schlien ",6,10,5,10,17,NA,3,NA,NA,NA,NA,6,NA,NA,4,67,3
"Men","1415",1003,"SVG.Lüneburg.1",16,"Mora Sabate ",6,3,3,NA,19,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2
"Men","1415",1003,"SVG.Lüneburg.1",18,"Kruse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1415",1004,"TV.Rottenburg.1",1,"Mehlberg ",5,11,4,3,8,3,NA,13,2,54,31,25,3,NA,10,40,1
