"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Women","1617",2001,"Dresdner.SC",2,"Apitz Mareen",7,6,4,4,23,2,4,NA,NA,NA,NA,2,NA,NA,2,100,NA
"Women","1617",2001,"Dresdner.SC",6,"Smutna Lucie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1617",2001,"Dresdner.SC",7,"Strumilo Dominika",5,7,3,3,7,2,1,16,1,31,12,14,NA,1,6,43,NA
"Women","1617",2001,"Dresdner.SC",8,"Purchartová Barbora",6,5,1,3,12,2,NA,NA,NA,NA,NA,7,NA,NA,3,43,2
"Women","1617",2001,"Dresdner.SC",9,"Schoot Myrthe Matilde",NA,NA,NA,-3,NA,NA,NA,28,3,54,32,NA,NA,NA,NA,NA,NA
"Women","1617",2001,"Dresdner.SC",12,"Cross Jennifer",5,5,1,NA,9,3,1,NA,NA,NA,NA,9,1,1,4,44,NA
"Women","1617",2001,"Dresdner.SC",13,"Hodanová Eva",NA,3,1,1,3,NA,NA,5,NA,80,20,11,2,NA,3,27,NA
"Women","1617",2001,"Dresdner.SC",14,"Mc Mahon Elizabeth",6,17,8,12,10,3,2,NA,NA,NA,NA,30,1,1,15,50,NA
"Women","1617",2001,"Dresdner.SC",16,"Schwabe Katharina",6,12,7,8,10,2,NA,3,2,NA,NA,14,NA,NA,8,57,4
"Women","1617",2001,"Dresdner.SC",18,"Johnson Erin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1617",2002,"Ladies.in.Black.A.",1,"Knip",NA,NA,NA,-6,NA,NA,NA,22,6,45,14,1,NA,NA,NA,NA,NA
"Women","1617",2002,"Ladies.in.Black.A.",2,"Dowd",5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1617",2002,"Ladies.in.Black.A.",3,"Whitson",6,2,NA,NA,6,2,NA,NA,NA,NA,NA,3,NA,NA,2,67,NA
"Women","1617",2002,"Ladies.in.Black.A.",4,"Kalinovskaya-Guengoe",6,5,3,3,9,NA,1,1,NA,100,NA,8,1,1,4,50,NA
"Women","1617",2002,"Ladies.in.Black.A.",5,"Polder",6,2,2,1,7,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1
"Women","1617",2002,"Ladies.in.Black.A.",6,"Neuhaus",6,7,1,4,8,2,NA,4,NA,50,NA,13,NA,1,7,54,NA
"Women","1617",2002,"Ladies.in.Black.A.",8,"Stoeten",5,6,4,3,15,2,3,NA,NA,NA,NA,9,NA,1,2,22,1
"Women","1617",2002,"Ladies.in.Black.A.",9,"Daalderop",5,14,6,5,18,1,2,35,2,51,14,23,5,1,8,35,4
"Women","1617",2002,"Ladies.in.Black.A.",10,"Oude Luttikhuis",5,16,9,6,8,2,3,13,3,54,NA,27,5,NA,12,44,1
"Women","1617",2002,"Ladies.in.Black.A.",11,"Baciu",5,7,2,4,10,NA,NA,NA,NA,NA,NA,19,2,1,6,32,1
"Women","1617",2003,"VC.Wiesbaden.1",2,"Mach",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Women","1617",2003,"VC.Wiesbaden.1",3,"McCage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1617",2003,"VC.Wiesbaden.1",4,"Großer ",6,25,8,19,19,1,2,15,NA,53,27,48,1,4,20,42,3
"Women","1617",2003,"VC.Wiesbaden.1",5,"Longo",NA,NA,NA,NA,NA,NA,NA,15,NA,60,33,NA,NA,NA,NA,NA,NA
"Women","1617",2003,"VC.Wiesbaden.1",8,"Hynes",NA,2,1,2,2,NA,NA,2,NA,NA,NA,3,NA,NA,2,67,NA
"Women","1617",2003,"VC.Wiesbaden.1",9,"Grozer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1617",2003,"VC.Wiesbaden.1",10,"Kemmsies ",6,4,1,1,12,2,NA,NA,NA,NA,NA,11,NA,1,4,36,NA
"Women","1617",2003,"VC.Wiesbaden.1",11,"Košova ",6,9,4,6,13,2,NA,1,NA,100,0,16,NA,1,7,44,2
"Women","1617",2003,"VC.Wiesbaden.1",12,"Nagy ",6,9,3,6,16,2,NA,NA,NA,NA,NA,13,NA,1,4,31,5
"Women","1617",2003,"VC.Wiesbaden.1",13,"Bednarova ",5,9,5,-3,19,4,3,37,3,43,24,24,2,3,3,12,3
"Women","1617",2003,"VC.Wiesbaden.1",14,"Mertens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1617",2003,"VC.Wiesbaden.1",16,"Aigner-Swesey ",6,13,6,4,11,4,NA,2,NA,50,NA,36,2,3,10,28,3
"Women","1617",2004,"VCO.Berlin.1",1,"Agbortabi Vanessa ",5,12,3,6,10,2,NA,29,1,62,48,29,2,1,12,41,NA
"Women","1617",2004,"VCO.Berlin.1",2,"Krause Sabrina ",NA,2,1,1,8,NA,NA,1,NA,NA,NA,6,NA,1,1,17,1
"Women","1617",2004,"VCO.Berlin.1",3,"Morgenroth Paula",NA,NA,NA,NA,NA,NA,NA,10,NA,40,30,NA,NA,NA,NA,NA,NA
