"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Women","1314",2001,"Rote.Raben.V..1",1,"Alves Oliveira Ferre Crist ",NA,11,4,10,10,1,NA,1,NA,100,NA,17,NA,NA,8,47,3
"Women","1314",2001,"Rote.Raben.V..1",2,"Lamb Dominique ",NA,13,8,9,17,2,3,NA,NA,NA,NA,15,2,NA,6,40,4
"Women","1314",2001,"Rote.Raben.V..1",4,"Bartsch Michelle ",NA,11,3,4,10,3,NA,28,2,39,14,27,2,NA,10,37,1
"Women","1314",2001,"Rote.Raben.V..1",5,"Miyashiro Tamari Ann Po",NA,NA,NA,NA,NA,NA,NA,9,NA,67,22,NA,NA,NA,NA,NA,NA
"Women","1314",2001,"Rote.Raben.V..1",6,"Stöhr Celin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2001,"Rote.Raben.V..1",7,"Sperl Silvia ",NA,7,3,-1,10,2,NA,18,1,44,22,21,4,1,6,29,1
"Women","1314",2001,"Rote.Raben.V..1",8,"Helterhoff Linda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2001,"Rote.Raben.V..1",11,"Mesa Luaces Liana ",NA,16,7,13,11,1,NA,NA,NA,NA,NA,34,1,1,15,44,1
"Women","1314",2001,"Rote.Raben.V..1",14,"Stigrot Lena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2001,"Rote.Raben.V..1",15,"Geerties Jennifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2001,"Rote.Raben.V..1",16,"Hagglund Jenna ",NA,2,1,-1,16,1,NA,NA,NA,NA,NA,1,NA,NA,1,100,1
"Women","1314",2002,"Dresdner.SC",2,"Apitz",6,7,5,4,22,1,3,1,NA,NA,NA,2,NA,NA,2,100,2
"Women","1314",2002,"Dresdner.SC",3,"Mikhailenko",5,9,1,-1,9,2,NA,NA,NA,NA,NA,27,2,3,9,33,NA
"Women","1314",2002,"Dresdner.SC",4,"Karg",6,11,6,1,12,3,NA,NA,NA,NA,NA,13,NA,1,9,69,2
"Women","1314",2002,"Dresdner.SC",6,"Pencová",6,13,5,5,18,2,2,NA,NA,NA,NA,16,1,1,10,62,1
"Women","1314",2002,"Dresdner.SC",8,"Perry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2002,"Dresdner.SC",9,"Schoot",NA,NA,NA,NA,NA,NA,NA,17,NA,41,12,NA,NA,NA,NA,NA,NA
"Women","1314",2002,"Dresdner.SC",11,"Goos",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2002,"Dresdner.SC",12,"Langgemach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2002,"Dresdner.SC",13,"Izquierdo-Mocasqui",5,16,7,-1,14,1,NA,30,6,23,17,34,3,5,13,38,3
"Women","1314",2002,"Dresdner.SC",14,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2002,"Dresdner.SC",16,"Schwabe",NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2002,"Dresdner.SC",18,"Marcelle",5,9,4,1,11,2,NA,19,1,32,16,33,1,1,9,27,NA
"Women","1314",2003,"Allianz.MTV.S..1",2,"Weiand Pia ",5,1,1,-3,6,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1
"Women","1314",2003,"Allianz.MTV.S..1",4,"van Daelen Deborah ",6,15,2,8,12,1,NA,33,2,33,15,31,2,NA,15,48,NA
"Women","1314",2003,"Allianz.MTV.S..1",5,"Pavan Rebecca ",6,10,4,3,14,3,2,NA,NA,NA,NA,13,1,1,7,54,1
"Women","1314",2003,"Allianz.MTV.S..1",6,"Gschwendtner Lena",NA,NA,NA,NA,NA,NA,NA,3,NA,100,33,NA,NA,NA,NA,NA,NA
"Women","1314",2003,"Allianz.MTV.S..1",7,"Stalzer Lindsay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2003,"Allianz.MTV.S..1",9,"Bremer Franziska ",6,9,2,4,8,1,NA,NA,NA,NA,NA,11,2,NA,6,55,3
"Women","1314",2003,"Allianz.MTV.S..1",11,"Truchetet Lauriane",NA,2,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,100,1
"Women","1314",2003,"Allianz.MTV.S..1",13,"Zautys Tatjana ",5,5,1,-10,12,5,1,NA,NA,NA,NA,20,5,2,3,15,1
"Women","1314",2003,"Allianz.MTV.S..1",16,"Jovy-Heuser Alessandra",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2003,"Allianz.MTV.S..1",17,"Engelhardt Svenja ",5,4,1,-3,8,3,NA,17,NA,59,35,20,1,3,4,20,NA
"Women","1314",2003,"Allianz.MTV.S..1",18,"Lourenco Delogú Evelyn",NA,NA,NA,-2,NA,NA,NA,14,1,79,43,NA,NA,NA,NA,NA,NA
"Women","1314",2004,"USC.Münster.1",2,"Kemmsies",NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,100,1
"Women","1314",2004,"USC.Münster.1",3,"Schaus ",5,15,8,8,16,NA,1,NA,NA,NA,NA,40,4,3,13,32,1
"Women","1314",2004,"USC.Münster.1",4,"von Piekartz ",6,5,5,-4,12,1,1,NA,NA,NA,NA,7,4,NA,1,14,3
"Women","1314",2004,"USC.Münster.1",7,"Petrausch",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,1,17,NA
"Women","1314",2004,"USC.Münster.1",9,"Ossowski",NA,NA,NA,-2,6,1,NA,6,1,33,17,NA,NA,NA,NA,NA,NA
"Women","1314",2004,"USC.Münster.1",10,"Benson ",6,19,10,8,16,3,NA,NA,NA,NA,NA,28,1,3,14,50,5
"Women","1314",2004,"USC.Münster.1",12,"Silge ",5,12,6,-1,14,3,2,NA,NA,NA,NA,27,2,5,10,37,NA
"Women","1314",2004,"USC.Münster.1",14,"Dörendahl",NA,NA,NA,-4,NA,NA,NA,32,4,62,47,NA,NA,NA,NA,NA,NA
"Women","1314",2004,"USC.Münster.1",17,"Bathen ",5,9,1,NA,16,2,NA,57,2,60,44,24,3,2,9,38,NA
"Women","1314",2004,"USC.Münster.1",18,"Schwertmann ",6,13,7,5,29,3,4,NA,NA,NA,NA,17,2,NA,8,47,1
"Women","1314",2005,"VC.Wiesbaden.1",3,"Shoji ",NA,3,3,NA,6,1,NA,1,NA,100,0,4,NA,NA,2,50,1
"Women","1314",2005,"VC.Wiesbaden.1",4,"Großer",5,6,1,1,10,NA,NA,18,NA,50,22,15,3,NA,6,40,NA
"Women","1314",2005,"VC.Wiesbaden.1",5,"Viestová",6,1,1,-1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Women","1314",2005,"VC.Wiesbaden.1",6,"Schäperklaus",6,9,5,8,5,NA,1,NA,NA,NA,NA,7,NA,NA,7,100,1
"Women","1314",2005,"VC.Wiesbaden.1",7,"Skorupka ",5,6,3,NA,6,2,1,22,2,36,23,13,1,1,5,38,NA
"Women","1314",2005,"VC.Wiesbaden.1",8,"Osterloh ",7,14,6,8,16,2,1,1,NA,100,NA,15,NA,NA,12,80,1
"Women","1314",2005,"VC.Wiesbaden.1",9,"Boscoscuro",NA,NA,NA,-2,NA,NA,NA,6,1,83,67,NA,NA,NA,NA,NA,NA
"Women","1314",2005,"VC.Wiesbaden.1",10,"Alanko ",7,1,NA,-1,21,1,NA,NA,NA,NA,NA,3,NA,NA,1,33,NA
"Women","1314",2005,"VC.Wiesbaden.1",11,"Muijlwijk ",6,20,9,11,13,1,1,1,NA,NA,NA,41,1,3,17,41,2
"Women","1314",2005,"VC.Wiesbaden.1",12,"Ivanovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2005,"VC.Wiesbaden.1",13,"Mapeli Burchardt ",6,17,10,5,17,2,NA,18,NA,50,22,28,3,2,14,50,3
"Women","1314",2006,"VolleyStars.T.",2,"Hindriksen Mareike",NA,10,5,7,23,1,3,NA,NA,NA,NA,4,NA,NA,3,75,4
"Women","1314",2006,"VolleyStars.T.",3,"Lißon Karen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2006,"VolleyStars.T.",5,"Rowland Bianca",NA,11,5,5,11,1,NA,1,NA,NA,NA,18,3,1,6,33,5
"Women","1314",2006,"VolleyStars.T.",6,"Merková Vendula",NA,5,4,-6,5,2,NA,NA,NA,NA,NA,24,2,4,5,21,NA
"Women","1314",2006,"VolleyStars.T.",7,"Utla Martina",NA,14,6,-2,18,3,1,12,2,50,17,42,4,3,11,26,2
"Women","1314",2006,"VolleyStars.T.",8,"Field Marisa Daralene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2006,"VolleyStars.T.",10,"Nemcova Nikola",NA,10,4,1,7,2,NA,NA,NA,NA,NA,20,3,NA,9,45,1
"Women","1314",2006,"VolleyStars.T.",11,"Steger Claudia",NA,12,6,-5,16,NA,2,55,11,31,18,19,1,1,8,42,2
"Women","1314",2006,"VolleyStars.T.",14,"Cukseeva Natalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2006,"VolleyStars.T.",15,"Speer Christina",NA,13,6,5,26,1,3,NA,NA,NA,NA,11,2,1,4,36,6
"Women","1314",2006,"VolleyStars.T.",18,"Golla Stefanie",NA,NA,NA,-3,NA,NA,NA,24,2,42,17,NA,NA,NA,NA,NA,NA
"Women","1314",2007,"Ladies.in.black.A..1",1,"Crkonova ",6,8,3,1,12,2,2,NA,NA,NA,NA,12,2,1,3,25,3
"Women","1314",2007,"Ladies.in.black.A..1",2,"Stoltenborg ",5,4,1,2,8,1,NA,1,NA,NA,NA,6,NA,NA,3,50,1
"Women","1314",2007,"Ladies.in.black.A..1",3,"Rejzovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2007,"Ladies.in.black.A..1",4,"Belien ",6,9,2,NA,6,1,NA,1,NA,NA,NA,16,NA,NA,7,44,2
"Women","1314",2007,"Ladies.in.black.A..1",8,"Scott ",NA,7,2,-3,2,1,NA,1,NA,NA,NA,22,2,3,6,27,1
"Women","1314",2007,"Ladies.in.black.A..1",9,"Stankova",5,3,2,-5,6,NA,1,3,NA,33,NA,10,2,3,1,10,1
"Women","1314",2007,"Ladies.in.black.A..1",11,"Salomäki",NA,NA,NA,-2,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2007,"Ladies.in.black.A..1",13,"Bednarova ",5,6,3,2,12,NA,NA,23,NA,39,17,16,1,3,6,38,NA
"Women","1314",2007,"Ladies.in.black.A..1",14,"Valachova",NA,NA,NA,-3,NA,NA,NA,25,3,28,20,NA,NA,NA,NA,NA,NA
"Women","1314",2007,"Ladies.in.black.A..1",15,"Ponte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2007,"Ladies.in.black.A..1",17,"Weihenmaier ",5,3,2,-5,12,1,1,6,1,17,NA,21,2,1,1,5,1
"Women","1314",2007,"Ladies.in.black.A..1",18,"Van den Berghen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2008,"Schweriner.SC",1,"Souza Ziegler",5,7,3,-4,6,2,NA,37,3,49,27,23,4,1,6,26,1
"Women","1314",2008,"Schweriner.SC",2,"Joachim",NA,2,2,NA,3,1,1,NA,NA,NA,NA,1,NA,NA,1,100,NA
"Women","1314",2008,"Schweriner.SC",3,"Pihlajamäki",NA,4,2,NA,7,NA,1,NA,NA,NA,NA,5,1,NA,2,40,1
"Women","1314",2008,"Schweriner.SC",4,"Vilponen",NA,1,NA,-1,2,NA,NA,NA,NA,NA,NA,5,NA,2,1,20,NA
"Women","1314",2008,"Schweriner.SC",5,"Hippe",5,10,2,-2,9,1,1,2,NA,NA,NA,35,5,4,9,26,NA
"Women","1314",2008,"Schweriner.SC",7,"Imoudu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2008,"Schweriner.SC",8,"Poll",5,2,1,-5,12,2,1,8,NA,50,25,12,3,NA,1,8,NA
"Women","1314",2008,"Schweriner.SC",9,"Isailovic",NA,1,NA,-2,2,1,NA,NA,NA,NA,NA,4,1,1,1,25,NA
"Women","1314",2008,"Schweriner.SC",10,"Radenkovic",5,1,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
"Women","1314",2008,"Schweriner.SC",11,"Aulenbrock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2008,"Schweriner.SC",13,"Völker",NA,NA,NA,-3,NA,NA,NA,19,3,53,32,NA,NA,NA,NA,NA,NA
"Women","1314",2008,"Schweriner.SC",14,"Moma Bassoko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2008,"Schweriner.SC",17,"Hroncekova",6,6,NA,2,5,NA,NA,NA,NA,NA,NA,9,NA,1,5,56,1
"Women","1314",2009,"VT.Aurubis.H..1",1,"Sliwa Izabela",NA,NA,NA,NA,NA,NA,NA,15,NA,73,40,1,NA,NA,NA,NA,NA
"Women","1314",2009,"VT.Aurubis.H..1",3,"Michalski Eva",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2009,"VT.Aurubis.H..1",5,"Brinkmann Anika ",5,11,7,-3,11,3,2,26,2,58,23,25,4,5,7,28,2
"Women","1314",2009,"VT.Aurubis.H..1",7,"Braack Nina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2009,"VT.Aurubis.H..1",8,"Ammerman Sarah ",5,8,2,2,11,1,NA,NA,NA,NA,NA,24,3,1,7,29,1
"Women","1314",2009,"VT.Aurubis.H..1",9,"Valentine Alyssa ",6,3,2,NA,10,NA,NA,1,NA,100,0,2,NA,NA,1,50,2
"Women","1314",2009,"VT.Aurubis.H..1",10,"Tiilikainen Riikka",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2009,"VT.Aurubis.H..1",11,"Gravesteijn Flore ",6,12,4,8,12,NA,NA,24,3,54,33,26,1,NA,11,42,1
"Women","1314",2009,"VT.Aurubis.H..1",12,"Behrens Moana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2009,"VT.Aurubis.H..1",13,"Wedekind Imke ",6,7,4,5,7,NA,NA,NA,NA,NA,NA,6,1,NA,4,67,3
"Women","1314",2009,"VT.Aurubis.H..1",14,"Wolnizki Sarah",NA,NA,NA,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2009,"VT.Aurubis.H..1",15,"Pettke Jennifer ",6,10,1,8,8,2,NA,2,NA,100,50,15,NA,NA,8,53,2
"Women","1314",2011,"SC.Potsdam",2,"Radzuweit",6,10,6,2,14,2,3,NA,NA,NA,NA,8,1,1,4,50,3
"Women","1314",2011,"SC.Potsdam",3,"Rühl",NA,NA,NA,NA,NA,NA,NA,5,NA,60,20,NA,NA,NA,NA,NA,NA
"Women","1314",2011,"SC.Potsdam",4,"Sajdova",5,6,2,1,6,1,1,NA,NA,NA,NA,9,NA,1,4,44,1
"Women","1314",2011,"SC.Potsdam",7,"Muri",4,NA,NA,-3,7,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2011,"SC.Potsdam",8,"Jelic",6,6,5,5,4,NA,2,4,1,75,50,2,NA,NA,1,50,3
"Women","1314",2011,"SC.Potsdam",9,"Gründing",6,5,3,2,7,2,NA,NA,NA,NA,NA,9,NA,NA,5,56,NA
"Women","1314",2011,"SC.Potsdam",10,"Engel",NA,NA,NA,-2,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2011,"SC.Potsdam",11,"Dreblow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2011,"SC.Potsdam",12,"Dörfler",6,1,1,-2,4,1,NA,NA,NA,NA,NA,4,NA,1,NA,NA,1
"Women","1314",2011,"SC.Potsdam",14,"Cutuk",NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,2,1,NA,1,50,NA
"Women","1314",2011,"SC.Potsdam",16,"Radosova",5,12,6,-2,11,1,1,29,4,48,17,26,4,2,9,35,2
"Women","1314",2011,"SC.Potsdam",18,"Rivero",5,10,6,NA,7,2,NA,15,3,40,27,18,3,2,9,50,1
"Women","1314",2013,"Rote.Raben.V..1",1,"Alves Oliveira Ferre Crist ",NA,13,5,12,6,1,NA,1,NA,100,NA,13,NA,NA,11,85,2
"Women","1314",2013,"Rote.Raben.V..1",2,"Lamb Dominique ",NA,1,NA,-2,5,1,NA,NA,NA,NA,NA,6,1,1,NA,NA,1
"Women","1314",2013,"Rote.Raben.V..1",4,"Bartsch Michelle ",NA,10,4,4,14,2,1,22,1,45,18,25,2,1,9,36,NA
"Women","1314",2013,"Rote.Raben.V..1",5,"Miyashiro Tamari Ann Po",NA,NA,NA,NA,NA,NA,NA,9,NA,67,33,NA,NA,NA,NA,NA,NA
"Women","1314",2013,"Rote.Raben.V..1",6,"Stöhr Celin",NA,4,3,3,2,1,NA,NA,NA,NA,NA,3,NA,NA,1,33,3
"Women","1314",2013,"Rote.Raben.V..1",7,"Sperl Silvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2013,"Rote.Raben.V..1",8,"Helterhoff Linda",NA,NA,NA,-1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2013,"Rote.Raben.V..1",11,"Mesa Luaces Liana ",NA,8,5,6,10,NA,NA,NA,NA,NA,NA,20,NA,2,5,25,3
"Women","1314",2013,"Rote.Raben.V..1",12,"Pogany Anna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2013,"Rote.Raben.V..1",14,"Stigrot Lena",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2013,"Rote.Raben.V..1",15,"Geerties Jennifer ",NA,13,7,8,14,1,5,9,NA,67,11,15,2,1,8,53,NA
"Women","1314",2013,"Rote.Raben.V..1",16,"Hagglund Jenna ",NA,3,3,3,16,NA,1,NA,NA,NA,NA,4,NA,NA,1,25,1
"Women","1314",2014,"Dresdner.SC",2,"Apitz",6,2,2,-7,16,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,1
"Women","1314",2014,"Dresdner.SC",3,"Mikhailenko",NA,2,NA,-1,4,1,NA,NA,NA,NA,NA,8,NA,NA,1,12,1
"Women","1314",2014,"Dresdner.SC",4,"Karg",6,11,5,5,18,2,3,NA,NA,NA,NA,14,NA,2,6,43,2
"Women","1314",2014,"Dresdner.SC",6,"Pencová",6,7,3,2,10,2,NA,NA,NA,NA,NA,11,NA,1,5,45,2
"Women","1314",2014,"Dresdner.SC",8,"Perry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2014,"Dresdner.SC",9,"Schoot",NA,NA,NA,-2,NA,NA,NA,26,2,46,35,NA,NA,NA,NA,NA,NA
"Women","1314",2014,"Dresdner.SC",11,"Goos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2014,"Dresdner.SC",12,"Langgemach",NA,4,1,-2,4,3,NA,NA,NA,NA,NA,6,NA,1,3,50,1
"Women","1314",2014,"Dresdner.SC",13,"Izquierdo-Mocasqui",5,17,9,3,12,2,NA,19,1,32,11,47,7,3,16,34,1
"Women","1314",2014,"Dresdner.SC",14,"Stock",NA,2,2,2,8,NA,2,1,NA,100,NA,NA,NA,NA,NA,NA,NA
"Women","1314",2014,"Dresdner.SC",16,"Schwabe",6,12,6,5,14,NA,3,6,NA,33,NA,19,NA,2,8,42,1
"Women","1314",2014,"Dresdner.SC",18,"Marcelle",5,11,8,2,12,2,1,19,3,32,5,24,2,1,9,38,1
"Women","1314",2015,"Allianz.MTV.S..1",2,"Weiand Pia",6,2,2,NA,9,1,1,NA,NA,NA,NA,4,NA,NA,1,25,NA
