"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Men","1718",1001,"TV.Rottenburg.1",1,"Mehlberg",NA,NA,NA,-3,NA,NA,NA,19,3,53,32,NA,NA,NA,NA,NA,NA
"Men","1718",1001,"TV.Rottenburg.1",3,"Jankowski ",4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Men","1718",1001,"TV.Rottenburg.1",4,"Cipollone",6,1,1,-1,10,1,1,1,NA,NA,NA,2,NA,1,NA,NA,NA
"Men","1718",1001,"TV.Rottenburg.1",6,"Nagel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1001,"TV.Rottenburg.1",7,"Mönnich ",NA,2,1,-3,4,2,NA,NA,NA,NA,NA,11,2,1,2,18,NA
"Men","1718",1001,"TV.Rottenburg.1",8,"Henning ",6,10,6,1,18,5,NA,1,NA,100,0,12,3,1,6,50,4
"Men","1718",1001,"TV.Rottenburg.1",9,"Wilmsen ",6,6,2,5,10,NA,NA,NA,NA,NA,NA,10,1,NA,5,50,1
"Men","1718",1001,"TV.Rottenburg.1",10,"Németh",5,7,1,4,8,1,1,NA,NA,NA,NA,16,2,NA,6,38,NA
"Men","1718",1001,"TV.Rottenburg.1",11,"Lima Martins ",5,12,6,2,25,3,3,25,2,56,28,24,2,3,9,38,NA
"Men","1718",1001,"TV.Rottenburg.1",12,"Trenkler",NA,2,1,1,NA,NA,NA,7,1,43,29,2,NA,NA,1,50,1
"Men","1718",1001,"TV.Rottenburg.1",14,"Schief",NA,NA,NA,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1001,"TV.Rottenburg.1",16,"Elsäßer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1001,"TV.Rottenburg.1",18,"Grozer ",5,17,7,2,18,6,4,27,3,48,15,28,5,1,13,46,NA
"Men","1718",1002,"SWD.powervolleys.D..1",1,"Bann Blair",NA,NA,NA,NA,NA,NA,NA,15,NA,60,33,NA,NA,NA,NA,NA,NA
"Men","1718",1002,"SWD.powervolleys.D..1",2,"Firkal Július",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1002,"SWD.powervolleys.D..1",3,"Broshog Tim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1002,"SWD.powervolleys.D..1",4,"Buivids Edvarts",NA,NA,NA,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1002,"SWD.powervolleys.D..1",5,"D'Hulst Stijn ",6,3,2,3,17,NA,2,NA,NA,NA,NA,1,NA,NA,1,100,NA
"Men","1718",1002,"SWD.powervolleys.D..1",6,"Allik Karli",NA,NA,NA,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1002,"SWD.powervolleys.D..1",7,"Sauss Romans ",5,11,5,4,19,2,3,17,NA,29,12,28,3,2,8,29,NA
"Men","1718",1002,"SWD.powervolleys.D..1",8,"Prolingheuer Marvin ",6,15,5,7,8,3,1,NA,NA,NA,NA,32,3,2,12,38,2
"Men","1718",1002,"SWD.powervolleys.D..1",9,"Westphal Dirk ",5,8,3,3,6,2,NA,19,1,47,32,19,NA,2,8,42,NA
"Men","1718",1002,"SWD.powervolleys.D..1",11,"Andrei Michael ",6,5,2,5,8,NA,NA,NA,NA,NA,NA,8,NA,NA,3,38,2
"Men","1718",1002,"SWD.powervolleys.D..1",12,"Braas Gilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1002,"SWD.powervolleys.D..1",14,"Zachrich Jaromir ",6,5,4,4,14,1,NA,1,NA,NA,NA,7,NA,NA,4,57,1
"Men","1718",1003,"Bergische.Volleys.1",1,"Benz Andrew ",6,5,1,3,10,2,NA,NA,NA,NA,NA,6,NA,NA,4,67,1
"Men","1718",1003,"Bergische.Volleys.1",2,"Borgeaud Nicolas",NA,1,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1003,"Bergische.Volleys.1",3,"Gies Oliver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1003,"Bergische.Volleys.1",4,"Boehm Samuel ",6,13,2,8,9,NA,1,NA,NA,NA,NA,23,NA,5,12,52,NA
"Men","1718",1003,"Bergische.Volleys.1",5,"Lipscombe Gerrard ",5,5,2,-10,8,4,1,21,5,52,24,17,2,4,4,24,NA
"Men","1718",1003,"Bergische.Volleys.1",6,"Tille Johannes ",7,3,3,1,14,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1718",1003,"Bergische.Volleys.1",7,"Zoodsma Rutger",NA,2,NA,NA,3,1,NA,NA,NA,NA,NA,3,NA,1,2,67,NA
