"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Women","1516",2001,"Köpenicker.SC.B.",1,"Johnson Janisa",6,12,7,4,12,1,2,27,4,11,7,26,2,1,9,35,1
"Women","1516",2001,"Köpenicker.SC.B.",2,"Grätz Annalena",NA,2,1,1,4,NA,1,4,1,NA,NA,3,NA,NA,1,33,NA
"Women","1516",2001,"Köpenicker.SC.B.",4,"Rutarová Eva",6,7,3,3,11,4,1,NA,NA,NA,NA,6,NA,NA,3,50,3
"Women","1516",2001,"Köpenicker.SC.B.",6,"Nelson Kaleigh",6,14,7,9,7,1,NA,NA,NA,NA,NA,31,3,1,14,45,NA
"Women","1516",2001,"Köpenicker.SC.B.",7,"Pogany Anna",NA,NA,NA,NA,NA,NA,NA,6,NA,83,67,NA,NA,NA,NA,NA,NA
"Women","1516",2001,"Köpenicker.SC.B.",8,"Knauf Ann-Marie",8,1,1,NA,6,1,NA,NA,NA,NA,NA,2,NA,NA,1,50,NA
"Women","1516",2001,"Köpenicker.SC.B.",9,"Hero Julia",NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,1,50,NA
"Women","1516",2001,"Köpenicker.SC.B.",10,"Wickstrom Sarah",6,3,2,1,14,2,1,NA,NA,NA,NA,3,NA,NA,2,67,NA
"Women","1516",2001,"Köpenicker.SC.B.",11,"Göpner Jessica",NA,NA,NA,-2,NA,NA,NA,21,2,19,10,NA,NA,NA,NA,NA,NA
"Women","1516",2001,"Köpenicker.SC.B.",12,"Barfield Lauren",6,12,6,10,14,2,3,NA,NA,NA,NA,17,NA,NA,8,47,1
"Women","1516",2001,"Köpenicker.SC.B.",15,"Iwohn Nele",6,7,4,6,8,1,1,NA,NA,NA,NA,9,NA,NA,6,67,NA
"Women","1516",2001,"Köpenicker.SC.B.",17,"Riedel Pia",6,12,4,4,11,4,NA,11,1,82,64,27,3,NA,11,41,1
"Women","1516",2002,"USC.Münster.1",1,"Lakovic Andrea",6,4,3,3,8,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1
"Women","1516",2002,"USC.Münster.1",2,"Kemmsies Irina",5,1,1,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
"Women","1516",2002,"USC.Münster.1",4,"KvapilovÃ¡ Michala ",6,13,3,6,11,1,NA,1,NA,NA,NA,44,3,3,11,25,2
"Women","1516",2002,"USC.Münster.1",5,"SÃ¡ Amanda ",6,1,NA,1,14,NA,NA,NA,NA,NA,NA,2,NA,NA,1,50,NA
"Women","1516",2002,"USC.Münster.1",6,"Fuchs Sina",6,4,2,1,6,1,NA,9,1,56,22,4,NA,1,3,75,1
"Women","1516",2002,"USC.Münster.1",7,"Leweling Pia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1516",2002,"USC.Münster.1",9,"Ossowski Alisha",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1516",2002,"USC.Münster.1",10,"Benson Ashley ",NA,8,3,6,10,1,2,NA,NA,NA,NA,8,NA,1,5,62,1
"Women","1516",2002,"USC.Münster.1",13,"Petrausch Sarah ",5,11,6,2,15,2,1,22,4,41,27,27,NA,3,9,33,1
"Women","1516",2002,"USC.Münster.1",14,"DÃ¶rendahl Linda",NA,NA,NA,-1,NA,NA,NA,20,1,35,15,NA,NA,NA,NA,NA,NA
"Women","1516",2002,"USC.Münster.1",17,"Bathen Ines ",5,10,4,8,11,1,1,30,NA,47,27,22,NA,1,9,41,NA
"Women","1516",2002,"USC.Münster.1",18,"Schwertmann Leonie ",6,7,4,2,10,2,NA,NA,NA,NA,NA,11,3,NA,4,36,3
"Women","1516",2003,"Ladies.in.Black.A..1",1,"Crkonova Tatiana ",5,13,5,7,13,2,1,NA,NA,NA,NA,31,3,1,12,39,NA
"Women","1516",2003,"Ladies.in.Black.A..1",2,"Kuciakova Miroslava",NA,1,1,1,NA,NA,NA,2,NA,100,50,2,NA,NA,1,50,NA
